,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47
52,DDHD1,EPHB3,EIF4E,HLA-DMB,MTRNR2L3,RP11-113I24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,DDX3Y,ERGIC1,ERLIN2,HSPB8,MXD3,RP11-124B7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,DDX6,FAM53B,ERP29,IGSF10,MYO1E,RP11-219E24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,DENND3,FAM76A,EWSR1,IL1R2,MYO9B,RP11-417L19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,DFNB31,FBXO38,FAM32A,IL36G,NBPF20,RP11-69P2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,DGAT2,FCAR,FAM49B,IL4R,NFIA,RP11-715J22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,DGAT2,FLII,FHOD1,INF2,NFKBIE,RP11-96D1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,DHRS9,FLNA,FLNA,INTS1,NFRKB,RP5-1043L3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,DHX16,FNDC3A,FLOT1,IRF9,NLRP1,RP5-1096D14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,DLG1,FOS,FNBP1L,ITGB2,NR4A1,RPS6KA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,DYNLRB1,FURIN,FOSL2,JAK3,PER1,SDC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,DYRK1A,GBP4,GALNT1,KIAA1671,PHC3,SENP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ECM1,GCH1,GRN,LAMB3,PIKFYVE,SOX2-OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,EGLN1,GMIP,GRPEL2,LDLRAD4,POU2F2,SSTR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,EHD1,GNS,GTPBP1,LILRB2,PPIF,TIMM50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,EHD3,GPATCH2L,HDAC5,MAPK14,PRKCD,TTC21A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,EIF3G,GPR35,HK3,MED25,PRKDC,TUBE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,EIF4A1,GRHL1,HMHA1,MFN2,PRRC2A,WDR66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ELF2,GRINA,HNRNPC,MGRN1,PSTPIP1,XPNPEP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ELL,HLA-DRB6,HNRNPU,MIR22HG,PTPN1,ZNF26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ELOC,HSPG2,HOOK2,MLLT1,PXN,ZNF302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,EPRS,ID2,ICAM3,MLLT3,RASA1,ZNF527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,EPS8L2,IL6R,IL3RA,MMS22L,RNF40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ERICH1,JADE1,IL7R,NACC2,RP11-281A20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ERO1A,KLHL21,IQGAP2,NAPRT,RP11-488L18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ETS1,KMT2A,ITGAX,NDRG2,RUBCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,EWSR1,LAD1,ITGB1,NEDD4,SEC14L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,FAM102A,LEPROTL1,ITGB8,NFKBID,SIPA1L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,FAM129A,LGMN,ITPRIPL2,NUCKS1,SPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,FAM46B,LILRB3,KBTBD2,ODF3B,SPOPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,FBXO11,LINC01002,KCTD20,OR7D4,SRPK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,FBXO32,LINC01002,KDM2A,OSCAR,SRSF7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,FCGR2B,LRRK2,KIAA0226L,PARN,ST6GALNAC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,FCGR2C,MAN2B1,KIAA0368,PCSK5,STAT5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,FES,MAST4,KIAA0430,PEAK1,STX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FGR,MBD6,KIF13A,PFKFB3,TECPR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,FRAT2,MED14,KLHL15,PFKFB3,TFCP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,FTX,MEFV,KMT2D,PGK1,THOC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,GAK,MGAT4A,LLGL2,PHF20L1,TMEM132A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,GBF1,MMAB,LMNA,PLA2G7,TMEM8A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,GNB1,MMP25,LRCH4,PLEC,TMPRSS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,GNL1,MOB3C,LRP1,PLEKHA1,TREML2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,GPAA1,MOV10,MAP4K2,PLEKHA3,USP25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,GRAMD1A,MS4A7,MARCH5,PPARD,USP9X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,GSTO1,MSL1,MARK2,PREX1,WDFY4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,H2AFZ,MTMR12,MARS,PSEN1,WNK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,HAUS4,MTMR3,MIER1,RAB1A,YTHDF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,HIPK2,MTOR,MSL2,RARA,ZC3H11A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,HLA-B,MYCBP2,MT1G,RIPK4,ZNF200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,HNRNPA1,NAPA,NADSYN1,RN7SL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,HNRNPUL1,NASP,NDEL1,RN7SL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,IGSF6,NBPF10,NDST2,RNF213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,IL1RN,NBPF9,NHLRC2,RP1-56K13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,INPP4A,NCOR2,NOMO2,RP11-217O12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,INSIG1,NFKB2,NPIPB4,RP11-419I17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,IQSEC1,NFKBID,NTNG2,RP11-666F17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,IRF1,NFYC,NUP98,RP3-394A18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,ITGAX,NINJ1,OAZ1,RP5-1198O20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ITPKB,NLRP3,OS9,RPGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,JTB,NPLOC4,PARD3,RPL17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,KHNYN,NR4A1,PCM1,RPL27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,KHSRP,NSMAF,PISD,RPL31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,KLF3,PCSK7,PLCB2,RPS12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,KLK11,PDLIM5,PLEKHG6,RPS18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,KMT2C,PFKFB3,PLS3,SAA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,LEPROT,PGD,PLSCR1,SARAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,LIMK2,PGGT1B,PNPLA6,SCARF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,LRRC20,PGS1,PPP4R2,SDC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,LRWD1,PIK3R5,PRPF3,SEPT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,MAML1,PIK3R5,PRR14,SHISA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,MAN2A2,PIM2,RBM33,SIPA1L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,MAN2A2,PLCE1,RBM39,SNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,MAN2A2,PLEKHG2,RBMS1,SORBS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,MAPK8IP3,PLEKHH3,RCC2,SOS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,MARCH7,PLIN4,RELA,SRRM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,MARK3,PPP1R13L,REL,SRSF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,METTL2A,PPP2CB,RHOG,ST3GAL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,MLF2,PPP6R3,RIPOR2,STARD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,MLLT6,PSD4,RNF31,STAT5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,MOB3A,R3HDM4,RPS2P5,STX16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,MXD1,RALA,SAFB,SYTL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,NAA15,RAP1GAP2,SCNN1G,TCP11L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,NAGK,RAPGEF6,SCYL3,TFEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,NAMPT,RASA3,SDHA,TGOLN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,NDRG1,RBM17,SEMA4A,THEMIS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,NORAD,REEP3,SEMA4D,TJP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,NPEPPS,RELT,SGSM2,TMC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,NUCB1,RHBDF2,SH3PXD2A,TMEM127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,NUMA1,RND1,SIRT2,TMPRSS11A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,OGT,RNF10,SLC15A3,TNFRSF21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,OLR1,RNF222,SLC19A1,TNFSF15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,OR5A2,RNPEPL1,SLC24A3,TPT1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PARVG,RP11-304M2.2,SLC25A45,TRIM28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PDZD2,RP11-34P13.13,SLFN5,TUBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PICALM,RP11-378J18.9,SNHG12,UBALD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PLAT,RP11-39E3.6,SNRNP70,UBE4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PLD2,RP11-453N18.1,SP110,USP6NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PLEKHA6,RP4-669L17.8,SPATA13,VASH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PNPLA2,RPN2,SRP54,XPO6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,POF1B,SAMD4B,SRRM2,ZFP36L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PPP1CC,SDS,SSR3,ZSWIM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PPP1R12C,SECTM1,STAT5B,ZSWIM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PPP1R3B,SEMA4B,TAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PPP2R4,SH2B2,TBC1D10C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PPP2R5D,SH2D3C,TMEM106A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PRSS27,SH3BP5,TMEM259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PSMD8,SHROOM3,TNRC6C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PTMS,SIRPA,TPM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PTPN6,SLC12A6,TRIM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,R3HDM4,SLC16A3,UBAC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,RASAL1,SLC16A3,UBE2G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,RBM5,SLC25A37,UBE2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
