,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47
62,DYNLRB1_protein_coding:SLVRNA,FURIN_protein_coding:SLVRNA,FOSL2_protein_coding:SLVRNA,JAK3_protein_coding:SLVRNA,PER1_protein_coding:SLVRNA,SDC3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,DYRK1A_protein_coding:SLVRNA,GBP4_protein_coding:SLVRNA,GALNT1_protein_coding:SLVRNA,KIAA1671_protein_coding:SLVRNA,PHC3_protein_coding:SLVRNA,SENP5_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ECM1_processed_transcript:SLVRNA,GCH1_protein_coding:SLVRNA,GRN_protein_coding:SLVRNA,LAMB3_protein_coding:SLVRNA,PIKFYVE_protein_coding:SLVRNA,SOX2-OT_sense_overlapping:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,EGLN1_protein_coding:SLVRNA,GMIP_protein_coding:SLVRNA,GRPEL2_protein_coding:SLVRNA,LDLRAD4_protein_coding:SLVRNA,POU2F2_protein_coding:SLVRNA,SSTR2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,EHD1_retained_intron:SLVRNA,GNS_protein_coding:SLVRNA,GTPBP1_protein_coding:SLVRNA,LILRB2_protein_coding:SLVRNA,PPIF_processed_transcript:SLVRNA,TIMM50_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,EHD3_protein_coding:SLVRNA,GPATCH2L_protein_coding:SLVRNA,HDAC5_protein_coding:SLVRNA,MAPK14_protein_coding:SLVRNA,PRKCD_protein_coding:SLVRNA,TTC21A_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,EIF3G_protein_coding:SLVRNA,GPR35_protein_coding:SLVRNA,HK3_retained_intron:SLVRNA,MED25_protein_coding:SLVRNA,PRKDC_protein_coding:SLVRNA,TUBE1_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,EIF4A1_retained_intron:SLVRNA,GRHL1_protein_coding:SLVRNA,HMHA1_protein_coding:SLVRNA,MFN2_protein_coding:SLVRNA,PRRC2A_protein_coding:SLVRNA,WDR66_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ELF2_protein_coding:SLVRNA,GRINA_protein_coding:SLVRNA,HNRNPC_retained_intron:SLVRNA,MGRN1_protein_coding:SLVRNA,PSTPIP1_protein_coding:SLVRNA,XPNPEP3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ELL_protein_coding:SLVRNA,HLA-DRB6_processed_transcript:SLVRNA,HNRNPU_retained_intron:SLVRNA,MIR22HG_lincRNA:SLVRNA,PTPN1_protein_coding:SLVRNA,ZNF26_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ELOC_protein_coding:SLVRNA,HSPG2_protein_coding:SLVRNA,HOOK2_retained_intron:SLVRNA,MLLT1_protein_coding:SLVRNA,PXN_protein_coding:SLVRNA,ZNF302_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,EPRS_protein_coding:SLVRNA,ID2_protein_coding:SLVRNA,ICAM3_protein_coding:SLVRNA,MLLT3_protein_coding:SLVRNA,RASA1_protein_coding:SLVRNA,ZNF527_nonsense_mediated_decay:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,EPS8L2_retained_intron:SLVRNA,IL6R_protein_coding:SLVRNA,IL3RA_protein_coding:SLVRNA,MMS22L_protein_coding:SLVRNA,RNF40_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ERICH1_protein_coding:SLVRNA,JADE1_protein_coding:SLVRNA,IL7R_protein_coding:SLVRNA,NACC2_protein_coding:SLVRNA,RP11-281A20.2_lincRNA:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ERO1A_nonsense_mediated_decay:SLVRNA,KLHL21_protein_coding:SLVRNA,IQGAP2_protein_coding:SLVRNA,NAPRT_retained_intron:SLVRNA,RP11-488L18.4_transcribed_unprocessed_pseudogene:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ETS1_protein_coding:SLVRNA,KMT2A_protein_coding:SLVRNA,ITGAX_protein_coding:SLVRNA,NDRG2_retained_intron:SLVRNA,RUBCN_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,EWSR1_retained_intron:SLVRNA,LAD1_protein_coding:SLVRNA,ITGB1_protein_coding:SLVRNA,NEDD4_processed_transcript:SLVRNA,SEC14L1_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,FAM102A_protein_coding:SLVRNA,LEPROTL1_protein_coding:SLVRNA,ITGB8_protein_coding:SLVRNA,NFKBID_nonsense_mediated_decay:SLVRNA,SIPA1L1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,FAM129A_protein_coding:SLVRNA,LGMN_protein_coding:SLVRNA,ITPRIPL2_protein_coding:SLVRNA,NUCKS1_protein_coding:SLVRNA,SPEN_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,FAM46B_protein_coding:SLVRNA,LILRB3_protein_coding:SLVRNA,KBTBD2_protein_coding:SLVRNA,ODF3B_retained_intron:SLVRNA,SPOPL_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,FBXO11_retained_intron:SLVRNA,LINC01002_lincRNA:SLVRNA,KCTD20_protein_coding:SLVRNA,OR7D4_protein_coding:SLVRNA,SRPK1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,FBXO32_retained_intron:SLVRNA,LINC01002_retained_intron:SLVRNA,KDM2A_protein_coding:SLVRNA,OSCAR_protein_coding:SLVRNA,SRSF7_nonsense_mediated_decay:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,FCGR2B_retained_intron:SLVRNA,LRRK2_protein_coding:SLVRNA,KIAA0226L_protein_coding:SLVRNA,PARN_protein_coding:SLVRNA,ST6GALNAC2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,FCGR2C_processed_transcript:SLVRNA,MAN2B1_retained_intron:SLVRNA,KIAA0368_protein_coding:SLVRNA,PCSK5_protein_coding:SLVRNA,STAT5B_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,FES_protein_coding:SLVRNA,MAST4_protein_coding:SLVRNA,KIAA0430_retained_intron:SLVRNA,PEAK1_protein_coding:SLVRNA,STX3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FGR_processed_transcript:SLVRNA,MBD6_protein_coding:SLVRNA,KIF13A_protein_coding:SLVRNA,PFKFB3_protein_coding:SLVRNA,TECPR2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,FRAT2_protein_coding:SLVRNA,MED14_protein_coding:SLVRNA,KLHL15_protein_coding:SLVRNA,PFKFB3_retained_intron:SLVRNA,TFCP2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,FTX_lincRNA:SLVRNA,MEFV_nonsense_mediated_decay:SLVRNA,KMT2D_protein_coding:SLVRNA,PGK1_processed_transcript:SLVRNA,THOC2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,GAK_retained_intron:SLVRNA,MGAT4A_protein_coding:SLVRNA,LLGL2_protein_coding:SLVRNA,PHF20L1_protein_coding:SLVRNA,TMEM132A_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,GBF1_protein_coding:SLVRNA,MMAB_protein_coding:SLVRNA,LMNA_protein_coding:SLVRNA,PLA2G7_protein_coding:SLVRNA,TMEM8A_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,GNB1_protein_coding:SLVRNA,MMP25_processed_transcript:SLVRNA,LRCH4_retained_intron:SLVRNA,PLEC_protein_coding:SLVRNA,TMPRSS4_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,GNL1_protein_coding:SLVRNA,MOB3C_protein_coding:SLVRNA,LRP1_retained_intron:SLVRNA,PLEKHA1_protein_coding:SLVRNA,TREML2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,GPAA1_retained_intron:SLVRNA,MOV10_processed_transcript:SLVRNA,MAP4K2_retained_intron:SLVRNA,PLEKHA3_protein_coding:SLVRNA,USP25_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,GRAMD1A_retained_intron:SLVRNA,MS4A7_protein_coding:SLVRNA,MARCH5_protein_coding:SLVRNA,PPARD_protein_coding:SLVRNA,USP9X_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,GSTO1_protein_coding:SLVRNA,MSL1_retained_intron:SLVRNA,MARK2_protein_coding:SLVRNA,PREX1_nonsense_mediated_decay:SLVRNA,WDFY4_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,H2AFZ_retained_intron:SLVRNA,MTMR12_protein_coding:SLVRNA,MARS_retained_intron:SLVRNA,PSEN1_protein_coding:SLVRNA,WNK1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,HAUS4_protein_coding:SLVRNA,MTMR3_protein_coding:SLVRNA,MIER1_protein_coding:SLVRNA,RAB1A_protein_coding:SLVRNA,YTHDF1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,HIPK2_protein_coding:SLVRNA,MTOR_protein_coding:SLVRNA,MSL2_protein_coding:SLVRNA,RARA_processed_transcript:SLVRNA,ZC3H11A_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,HLA-B_protein_coding:SLVRNA,MYCBP2_protein_coding:SLVRNA,MT1G_protein_coding:SLVRNA,RIPK4_protein_coding:SLVRNA,ZNF200_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,HNRNPA1_protein_coding:SLVRNA,NAPA_retained_intron:SLVRNA,NADSYN1_protein_coding:SLVRNA,RN7SL1_misc_RNA:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,HNRNPUL1_protein_coding:SLVRNA,NASP_retained_intron:SLVRNA,NDEL1_protein_coding:SLVRNA,RN7SL2_misc_RNA:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,IGSF6_protein_coding:SLVRNA,NBPF10_protein_coding:SLVRNA,NDST2_protein_coding:SLVRNA,RNF213_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,IL1RN_retained_intron:SLVRNA,NBPF9_retained_intron:SLVRNA,NHLRC2_protein_coding:SLVRNA,RP1-56K13.1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,INPP4A_protein_coding:SLVRNA,NCOR2_protein_coding:SLVRNA,NOMO2_protein_coding:SLVRNA,RP11-217O12.1_processed_pseudogene:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,INSIG1_protein_coding:SLVRNA,NFKB2_processed_transcript:SLVRNA,NPIPB4_protein_coding:SLVRNA,RP11-419I17.1_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,IQSEC1_protein_coding:SLVRNA,NFKBID_protein_coding:SLVRNA,NTNG2_protein_coding:SLVRNA,RP11-666F17.1_antisense:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,IRF1_retained_intron:SLVRNA,NFYC_protein_coding:SLVRNA,NUP98_protein_coding:SLVRNA,RP3-394A18.1_antisense:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,ITGAX_retained_intron:SLVRNA,NINJ1_processed_transcript:SLVRNA,OAZ1_protein_coding:SLVRNA,RP5-1198O20.4_lincRNA:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ITPKB_protein_coding:SLVRNA,NLRP3_protein_coding:SLVRNA,OS9_protein_coding:SLVRNA,RPGR_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,JTB_protein_coding:SLVRNA,NPLOC4_protein_coding:SLVRNA,PARD3_protein_coding:SLVRNA,RPL17_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,KHNYN_protein_coding:SLVRNA,NR4A1_retained_intron:SLVRNA,PCM1_protein_coding:SLVRNA,RPL27_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,KHSRP_protein_coding:SLVRNA,NSMAF_retained_intron:SLVRNA,PISD_protein_coding:SLVRNA,RPL31_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,KLF3_protein_coding:SLVRNA,PCSK7_retained_intron:SLVRNA,PLCB2_protein_coding:SLVRNA,RPS12_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,KLK11_protein_coding:SLVRNA,PDLIM5_protein_coding:SLVRNA,PLEKHG6_protein_coding:SLVRNA,RPS18_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,KMT2C_nonsense_mediated_decay:SLVRNA,PFKFB3_nonsense_mediated_decay:SLVRNA,PLS3_protein_coding:SLVRNA,SAA1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,LEPROT_protein_coding:SLVRNA,PGD_protein_coding:SLVRNA,PLSCR1_processed_transcript:SLVRNA,SARAF_nonsense_mediated_decay:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,LIMK2_protein_coding:SLVRNA,PGGT1B_protein_coding:SLVRNA,PNPLA6_retained_intron:SLVRNA,SCARF1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,LRRC20_protein_coding:SLVRNA,PGS1_retained_intron:SLVRNA,PPP4R2_protein_coding:SLVRNA,SDC1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,LRWD1_protein_coding:SLVRNA,PIK3R5_protein_coding:SLVRNA,PRPF3_processed_transcript:SLVRNA,SEPT4_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,MAML1_protein_coding:SLVRNA,PIK3R5_retained_intron:SLVRNA,PRR14_retained_intron:SLVRNA,SHISA5_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,MAN2A2_nonsense_mediated_decay:SLVRNA,PIM2_protein_coding:SLVRNA,RBM33_protein_coding:SLVRNA,SIPA1L2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,MAN2A2_protein_coding:SLVRNA,PLCE1_protein_coding:SLVRNA,RBM39_nonsense_mediated_decay:SLVRNA,SNN_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,MAN2A2_retained_intron:SLVRNA,PLEKHG2_protein_coding:SLVRNA,RBMS1_retained_intron:SLVRNA,SORBS3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,MAPK8IP3_retained_intron:SLVRNA,PLEKHH3_retained_intron:SLVRNA,RCC2_protein_coding:SLVRNA,SOS1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,MARCH7_protein_coding:SLVRNA,PLIN4_protein_coding:SLVRNA,RELA_protein_coding:SLVRNA,SRRM4_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,MARK3_protein_coding:SLVRNA,PPP1R13L_retained_intron:SLVRNA,REL_protein_coding:SLVRNA,SRSF3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,METTL2A_protein_coding:SLVRNA,PPP2CB_protein_coding:SLVRNA,RHOG_protein_coding:SLVRNA,ST3GAL1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,MLF2_retained_intron:SLVRNA,PPP6R3_protein_coding:SLVRNA,RIPOR2_protein_coding:SLVRNA,STARD3_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,MLLT6_protein_coding:SLVRNA,PSD4_protein_coding:SLVRNA,RNF31_protein_coding:SLVRNA,STAT5A_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,MOB3A_protein_coding:SLVRNA,R3HDM4_retained_intron:SLVRNA,RPS2P5_processed_pseudogene:SLVRNA,STX16_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,MXD1_nonsense_mediated_decay:SLVRNA,RALA_protein_coding:SLVRNA,SAFB_retained_intron:SLVRNA,SYTL1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,NAA15_protein_coding:SLVRNA,RAP1GAP2_protein_coding:SLVRNA,SCNN1G_protein_coding:SLVRNA,TCP11L2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,NAGK_retained_intron:SLVRNA,RAPGEF6_protein_coding:SLVRNA,SCYL3_protein_coding:SLVRNA,TFEB_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,NAMPT_retained_intron:SLVRNA,RASA3_protein_coding:SLVRNA,SDHA_retained_intron:SLVRNA,TGOLN2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,NDRG1_processed_transcript:SLVRNA,RBM17_processed_transcript:SLVRNA,SEMA4A_protein_coding:SLVRNA,THEMIS2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,NORAD_lincRNA:SLVRNA,REEP3_protein_coding:SLVRNA,SEMA4D_protein_coding:SLVRNA,TJP1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,NPEPPS_retained_intron:SLVRNA,RELT_retained_intron:SLVRNA,SGSM2_retained_intron:SLVRNA,TMC6_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,NUCB1_protein_coding:SLVRNA,RHBDF2_protein_coding:SLVRNA,SH3PXD2A_protein_coding:SLVRNA,TMEM127_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,NUMA1_protein_coding:SLVRNA,RND1_protein_coding:SLVRNA,SIRT2_protein_coding:SLVRNA,TMPRSS11A_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,OGT_retained_intron:SLVRNA,RNF10_retained_intron:SLVRNA,SLC15A3_protein_coding:SLVRNA,TNFRSF21_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,OLR1_protein_coding:SLVRNA,RNF222_protein_coding:SLVRNA,SLC19A1_protein_coding:SLVRNA,TNFSF15_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,OR5A2_protein_coding:SLVRNA,RNPEPL1_protein_coding:SLVRNA,SLC24A3_protein_coding:SLVRNA,TPT1-AS1_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PARVG_retained_intron:SLVRNA,RP11-304M2.2_lincRNA:SLVRNA,SLC25A45_retained_intron:SLVRNA,TRIM28_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PDZD2_processed_transcript:SLVRNA,RP11-34P13.13_antisense:SLVRNA,SLFN5_protein_coding:SLVRNA,TUBB_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PICALM_retained_intron:SLVRNA,RP11-378J18.9_lincRNA:SLVRNA,SNHG12_retained_intron:SLVRNA,UBALD1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PLAT_protein_coding:SLVRNA,RP11-39E3.6_TEC:SLVRNA,SNRNP70_nonsense_mediated_decay:SLVRNA,UBE4B_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PLD2_protein_coding:SLVRNA,RP11-453N18.1_unprocessed_pseudogene:SLVRNA,SP110_retained_intron:SLVRNA,USP6NL_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PLEKHA6_protein_coding:SLVRNA,RP4-669L17.8_unprocessed_pseudogene:SLVRNA,SPATA13_protein_coding:SLVRNA,VASH1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PNPLA2_retained_intron:SLVRNA,RPN2_protein_coding:SLVRNA,SRP54_protein_coding:SLVRNA,XPO6_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,POF1B_protein_coding:SLVRNA,SAMD4B_retained_intron:SLVRNA,SRRM2_protein_coding:SLVRNA,ZFP36L1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PPP1CC_protein_coding:SLVRNA,SDS_protein_coding:SLVRNA,SSR3_protein_coding:SLVRNA,ZSWIM4_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PPP1R12C_protein_coding:SLVRNA,SECTM1_protein_coding:SLVRNA,STAT5B_protein_coding:SLVRNA,ZSWIM8_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PPP1R3B_protein_coding:SLVRNA,SEMA4B_protein_coding:SLVRNA,TAP2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PPP2R4_protein_coding:SLVRNA,SH2B2_protein_coding:SLVRNA,TBC1D10C_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PPP2R5D_protein_coding:SLVRNA,SH2D3C_protein_coding:SLVRNA,TMEM106A_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PRSS27_retained_intron:SLVRNA,SH3BP5_protein_coding:SLVRNA,TMEM259_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PSMD8_protein_coding:SLVRNA,SHROOM3_protein_coding:SLVRNA,TNRC6C_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PTMS_processed_transcript:SLVRNA,SIRPA_protein_coding:SLVRNA,TPM3_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PTPN6_processed_transcript:SLVRNA,SLC12A6_retained_intron:SLVRNA,TRIM8_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,R3HDM4_nonsense_mediated_decay:SLVRNA,SLC16A3_protein_coding:SLVRNA,UBAC2_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,RASAL1_processed_transcript:SLVRNA,SLC16A3_retained_intron:SLVRNA,UBE2G1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,RBM5_retained_intron:SLVRNA,SLC25A37_processed_transcript:SLVRNA,UBE2M_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,RBMS2_protein_coding:SLVRNA,SLC43A2_retained_intron:SLVRNA,URGCP_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,RBPJ_protein_coding:SLVRNA,SLC8A1_protein_coding:SLVRNA,USB1_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,RNF24_protein_coding:SLVRNA,SOWAHC_protein_coding:SLVRNA,USP8_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,RP11-192H23.4_nonsense_mediated_decay:SLVRNA,SOX9_protein_coding:SLVRNA,VCP_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
