,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47
10,ANKRD9_protein_coding:SLVRNA,ARNTL2_protein_coding:SLVRNA,ANXA7_protein_coding:SLVRNA,ARMCX3_protein_coding:SLVRNA,C3AR1_protein_coding:SLVRNA,CAV2_protein_coding:SLVRNA,GCOM1_nonsense_mediated_decay:SLVRNA,LYST_protein_coding:SLVRNA,TSC2_retained_intron:SLVRNA,SULT1B1_protein_coding:SLVRNA,PSCA_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,APOE_protein_coding:SLVRNA,ATHL1_protein_coding:SLVRNA,ARHGDIA_protein_coding:SLVRNA,ARPC2_retained_intron:SLVRNA,CCL3_protein_coding:SLVRNA,CCNG2_protein_coding:SLVRNA,HOMER2_protein_coding:SLVRNA,MAP3K2_protein_coding:SLVRNA,WDR1_protein_coding:SLVRNA,TMEM192_protein_coding:SLVRNA,TMPRSS2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARAF_protein_coding:SLVRNA,ATP1B1_protein_coding:SLVRNA,ARL8A_protein_coding:SLVRNA,ATHL1_retained_intron:SLVRNA,CDK16_protein_coding:SLVRNA,CELF4_protein_coding:SLVRNA,IKZF1_protein_coding:SLVRNA,NAV1_protein_coding:SLVRNA,ZC3H4_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ARAP3_protein_coding:SLVRNA,ATP6AP2_retained_intron:SLVRNA,ARRDC4_protein_coding:SLVRNA,ATP2A3_retained_intron:SLVRNA,CELF2_protein_coding:SLVRNA,CELF5_nonsense_mediated_decay:SLVRNA,JOSD1_protein_coding:SLVRNA,NFKB2_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ARF5_retained_intron:SLVRNA,BACH2_protein_coding:SLVRNA,ATF5_protein_coding:SLVRNA,AXL_protein_coding:SLVRNA,CHURC1_protein_coding:SLVRNA,CH17-264L24.1_lincRNA:SLVRNA,KIAA0930_protein_coding:SLVRNA,NPEPPS_nonsense_mediated_decay:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ARHGAP4_retained_intron:SLVRNA,BCL10_protein_coding:SLVRNA,ATP13A3_retained_intron:SLVRNA,BCL9L_protein_coding:SLVRNA,CORO7_protein_coding:SLVRNA,CHD1_protein_coding:SLVRNA,KREMEN1_protein_coding:SLVRNA,PHACTR4_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ARHGEF1_protein_coding:SLVRNA,BCL2L11_protein_coding:SLVRNA,ATP2A2_protein_coding:SLVRNA,C17orf62_retained_intron:SLVRNA,COTL1_processed_transcript:SLVRNA,CTA-414D7.1_sense_intronic:SLVRNA,LMNA_processed_transcript:SLVRNA,PLTP_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ARIH1_retained_intron:SLVRNA,BCL6_protein_coding:SLVRNA,BAZ2A_protein_coding:SLVRNA,C9orf72_protein_coding:SLVRNA,CSRNP1_protein_coding:SLVRNA,DSTYK_protein_coding:SLVRNA,MALT1_protein_coding:SLVRNA,RC3H2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ARRB1_protein_coding:SLVRNA,BET1L_protein_coding:SLVRNA,BCL6_processed_transcript:SLVRNA,CAPN2_processed_transcript:SLVRNA,CSRP1_protein_coding:SLVRNA,EBF1_processed_transcript:SLVRNA,MED15_retained_intron:SLVRNA,RP13-104F24.2_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ASAH1_protein_coding:SLVRNA,BMPR1B_protein_coding:SLVRNA,BLOC1S6_protein_coding:SLVRNA,CDC42SE1_retained_intron:SLVRNA,CTD-3252C9.4_lincRNA:SLVRNA,EBF1_protein_coding:SLVRNA,PALLD_protein_coding:SLVRNA,SCPEP1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ATAD3C_protein_coding:SLVRNA,C12orf45_protein_coding:SLVRNA,BRD2_protein_coding:SLVRNA,CDH12_protein_coding:SLVRNA,CXCR2_protein_coding:SLVRNA,EMX2_protein_coding:SLVRNA,PDXK_protein_coding:SLVRNA,SERPINE1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ATP5B_processed_transcript:SLVRNA,C17orf107_protein_coding:SLVRNA,C17orf49_retained_intron:SLVRNA,CFLAR_retained_intron:SLVRNA,DCUN1D1_protein_coding:SLVRNA,ERCC4_protein_coding:SLVRNA,PHF20_protein_coding:SLVRNA,SLC12A9_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ATXN7_retained_intron:SLVRNA,C1GALT1_protein_coding:SLVRNA,C6orf89_protein_coding:SLVRNA,CH507-513H4.3_lincRNA:SLVRNA,DDB1_retained_intron:SLVRNA,EYA1_protein_coding:SLVRNA,PHF3_protein_coding:SLVRNA,SLC39A13_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AZIN1_protein_coding:SLVRNA,CALM1_retained_intron:SLVRNA,CAPZA2_protein_coding:SLVRNA,CH507-513H4.4_lincRNA:SLVRNA,ECE1_protein_coding:SLVRNA,FAM184B_protein_coding:SLVRNA,PTK2B_protein_coding:SLVRNA,SNX14_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BAIAP3_protein_coding:SLVRNA,CAMKK2_protein_coding:SLVRNA,CBX5_protein_coding:SLVRNA,CH507-513H4.6_lincRNA:SLVRNA,EHD1_protein_coding:SLVRNA,FBXL18_protein_coding:SLVRNA,RGL2_protein_coding:SLVRNA,SPG7_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BAIAP3_retained_intron:SLVRNA,CBFA2T2_protein_coding:SLVRNA,CCDC88B_processed_transcript:SLVRNA,CLCA4_protein_coding:SLVRNA,FAM168A_protein_coding:SLVRNA,GON4L_processed_transcript:SLVRNA,SF3B2_retained_intron:SLVRNA,SRRT_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BANP_processed_transcript:SLVRNA,CCDC84_retained_intron:SLVRNA,CCM2_retained_intron:SLVRNA,CLCN3_protein_coding:SLVRNA,FMNL1_protein_coding:SLVRNA,GPR85_protein_coding:SLVRNA,SLC44A2_protein_coding:SLVRNA,SYNCRIP_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BIRC2_protein_coding:SLVRNA,CD300C_protein_coding:SLVRNA,CCND2_protein_coding:SLVRNA,CLK1_protein_coding:SLVRNA,FRMD4B_protein_coding:SLVRNA,IGF1_protein_coding:SLVRNA,STXBP5_protein_coding:SLVRNA,TNFSF9_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,C4orf32_protein_coding:SLVRNA,CD44_protein_coding:SLVRNA,CHKB_retained_intron:SLVRNA,COPB1_protein_coding:SLVRNA,GPBP1_retained_intron:SLVRNA,IPO7_protein_coding:SLVRNA,SUN1_retained_intron:SLVRNA,UACA_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,C6orf62_protein_coding:SLVRNA,CFP_protein_coding:SLVRNA,CHPF2_protein_coding:SLVRNA,CTD-2311B13.7_lincRNA:SLVRNA,GRAMD1A_protein_coding:SLVRNA,KBTBD6_protein_coding:SLVRNA,TAF10_retained_intron:SLVRNA,WASHC4_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CAMKK1_protein_coding:SLVRNA,CHD4_protein_coding:SLVRNA,CIRBP_retained_intron:SLVRNA,DACT3_protein_coding:SLVRNA,GTF2IP18_processed_transcript:SLVRNA,KLLN_protein_coding:SLVRNA,TBL1X_protein_coding:SLVRNA,YBX3_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
